year,sample,island,pool,magna,longispina,pulex,poolname
1988,2,FO,1,0,0,0,FO-1
1989,1,FO,1,0,0,0,FO-1
1989,2,FO,1,0,0,0,FO-1
1990,1,FO,1,0,0,0,FO-1
1990,2,FO,1,0,0,0,FO-1
1991,1,FO,1,0,0,0,FO-1
1991,2,FO,1,0,0,0,FO-1
1992,1,FO,1,0,0,0,FO-1
1992,2,FO,1,0,0,0,FO-1
1993,1,FO,1,NA,NA,NA,FO-1
1993,2,FO,1,0,0,0,FO-1
1994,1,FO,1,0,0,0,FO-1
1994,2,FO,1,0,0,0,FO-1
1995,1,FO,1,0,0,0,FO-1
1995,2,FO,1,0,0,0,FO-1
1996,1,FO,1,0,0,0,FO-1
1996,2,FO,1,0,0,0,FO-1
1997,1,FO,1,0,0,0,FO-1
1997,2,FO,1,0,0,0,FO-1
1998,1,FO,1,0,0,0,FO-1
1998,2,FO,1,0,0,0,FO-1
1999,1,FO,1,0,0,0,FO-1
1999,2,FO,1,0,0,0,FO-1
2000,1,FO,1,0,0,0,FO-1
2000,2,FO,1,0,0,0,FO-1
2001,1,FO,1,0,0,0,FO-1
2001,2,FO,1,0,0,0,FO-1
2002,1,FO,1,0,0,0,FO-1
2002,2,FO,1,0,0,0,FO-1
2003,1,FO,1,0,0,0,FO-1
2003,2,FO,1,0,0,0,FO-1
2004,1,FO,1,0,0,0,FO-1
2004,2,FO,1,0,0,0,FO-1
2005,1,FO,1,0,0,0,FO-1
2005,2,FO,1,0,0,0,FO-1
2006,1,FO,1,0,0,0,FO-1
2006,2,FO,1,0,0,0,FO-1
2007,1,FO,1,0,0,0,FO-1
2007,2,FO,1,0,0,0,FO-1
2008,1,FO,1,0,0,0,FO-1
2008,2,FO,1,0,0,0,FO-1
1982,1,FO,2,NA,NA,NA,FO-2
1982,2,FO,2,0,1,0,FO-2
1983,1,FO,2,0,1,0,FO-2
1983,2,FO,2,0,1,0,FO-2
1984,1,FO,2,0,1,0,FO-2
1984,2,FO,2,0,1,0,FO-2
1985,1,FO,2,0,1,0,FO-2
1985,2,FO,2,0,1,0,FO-2
1986,1,FO,2,0,1,0,FO-2
1986,2,FO,2,0,1,0,FO-2
1987,1,FO,2,0,1,0,FO-2
1987,2,FO,2,0,1,0,FO-2
1988,1,FO,2,0,1,0,FO-2
1988,2,FO,2,0,1,0,FO-2
1989,1,FO,2,0,1,0,FO-2
1989,2,FO,2,0,1,0,FO-2
1990,1,FO,2,0,1,0,FO-2
